# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 15:56:09 2019
#
# User preference: *
#
# CONSTRAINT:  order by fpl_hostname asc
#
# COLUMN fpl_hostname:   Host Name
# COLUMN fpl_letter:     Planet Letter
# COLUMN fpl_name:       Planet Name
# COLUMN fpl_discmethod: Discovery Method
# COLUMN fpl_controvflag: Controversial Flag
# COLUMN fpl_disc:       Year of Discovery
# COLUMN fpl_orbper:     Orbital Period [days]
# COLUMN fpl_smax:       Orbit Semi-Major Axis [AU]
# COLUMN fpl_eccen:      Eccentricity
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass]
# COLUMN fpl_bmassprov:  Planet Mass or M*sin(i) Provenance
# COLUMN fpl_rade:       Planet Radius [Earth radii]
# COLUMN fpl_dens:       Planet Density [g/cm**3]
# COLUMN fpl_eqt:        Equilibrium Temperature [K]
# COLUMN fpl_tranflag:   Planet Transit Flag
# COLUMN fpl_cbflag:     Planet Circumbinary Flag
# COLUMN fpl_snum:       Number of Stars in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN fst_dist:       Distance [pc]
# COLUMN fst_optmag:     Optical Magnitude [mag]
# COLUMN fst_optmagband: Optical Magnitude Band
# COLUMN fst_nirmag:     Near-IR Magnitude [mag]
# COLUMN fst_nirmagband: Near-IR Magnitude Band
# COLUMN fst_spt:        Spectral Type
# COLUMN fst_teff:       Effective Temperature [K]
# COLUMN fst_logg:       Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)]
# COLUMN fst_mass:       Stellar Mass [Solar mass]
# COLUMN fst_rad:        Stellar Radius [Solar radii]
# COLUMN fst_met:        Stellar Metallicity [dex]
# COLUMN fst_metratio:   Metallicity Ratio
# COLUMN fst_age:        Stellar Age [Gyr]
#
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassprov,fpl_rade,fpl_dens,fpl_eqt,fpl_tranflag,fpl_cbflag,fpl_snum,ra_str,ra,dec_str,dec,fst_dist,fst_optmag,fst_optmagband,fst_nirmag,fst_nirmagband,fst_spt,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,2013,,52.000000,,7786.50000,Mass,11.209,30.40000,1600,0,0,1,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,14.240,V (Johnson),9.198,Ks (2MASS),M3.5 V,3530.00,,-1.720,0.40,,,,0.120
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,2015,,156.000000,,4417.83700,Mass,16.141,5.77000,,0,0,1,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,15.012,G (Gaia),10.404,Ks (2MASS),M6,3064.00,4.59,-2.230,0.11,0.28,,,0.035
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,2010,,15.000000,,2383.60000,Mass,12.600,6.55000,,0,0,1,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,18.967,G (Gaia),13.161,Ks (2MASS),M8.5,,,,0.02,,,,0.001
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,2004,,46.000000,,1271.00000,Mass,13.000,3.18000,1150,0,0,1,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,20.150,V (Johnson),11.945,Ks (2MASS),M8,,,,0.02,,,,0.008
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,2015,416.00000000,0.920000,,603.87700,Mass,13.400,1.38000,,0,1,2,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,12.138,G (Gaia),12.955,Ks (2MASS),,10868.00,3.91,0.168,0.48,0.34,-0.092,[Fe/H],
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,2009,7336.50000000,,0.260000,6657.48000,Mass,10.310,33.40000,2075,0,0,1,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,17.396,G (Gaia),11.826,Ks (2MASS),M8.5,2300.00,,-3.480,0.08,0.12,,,
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,2016,,230.000000,,3972.87500,Mass,12.300,11.70000,,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,12.510,V (Johnson),9.148,Ks (2MASS),K7 V,4045.00,,-1.021,0.60,0.62,,,0.120
18,30 Ari B,b,30 Ari B b,Radial Velocity,0,2009,335.10001000,0.990000,0.290000,4392.41060,Msini,12.300,13.00000,,0,0,4,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,6.962,V (Johnson),5.822,Ks (2MASS),F6 V,6331.00,4.43,0.381,1.93,1.41,0.190,[Fe/H],0.910
19,4 UMa,b,4 UMa b,Radial Velocity,0,2006,269.30000000,0.870000,0.432000,2256.50000,Msini,12.700,6.05000,,0,0,1,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,4.610,V (Johnson),1.734,Ks (2MASS),K1 III,4415.00,1.80,2.062,1.23,18.11,-0.250,[Fe/H],4.604
20,42 Dra,b,42 Dra b,Radial Velocity,0,2008,479.10000000,1.190000,0.380000,1233.13000,Msini,13.000,3.08000,,0,0,1,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,4.820,V (Johnson),2.085,Ks (2MASS),K1.5 III,4200.00,1.71,2.155,0.98,22.03,-0.460,[Fe/H],9.490
21,47 UMa,b,47 UMa b,Radial Velocity,0,1996,1078.00000000,2.100000,0.032000,804.08000,Msini,13.200,1.92000,,0,0,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),3.750,Ks (2MASS),G0 V,5892.00,4.27,0.216,1.03,1.23,0.000,[Fe/H],7.300
22,47 UMa,c,47 UMa c,Radial Velocity,0,2001,2391.00000000,3.600000,0.098000,171.62100,Msini,14.200,0.32900,,0,0,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),3.750,Ks (2MASS),G0 V,5892.00,4.27,0.216,1.03,1.23,0.000,[Fe/H],7.300
23,47 UMa,d,47 UMa d,Radial Velocity,0,2009,14002.00000000,11.600000,0.160000,521.22000,Msini,13.500,1.16000,,0,0,1,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),3.750,Ks (2MASS),G0 V,5892.00,4.27,0.216,1.03,1.23,0.000,[Fe/H],7.300
24,51 Eri,b,51 Eri b,Imaging,0,2015,11688.00000000,12.000000,0.450000,635.66000,Mass,13.400,1.45000,700,0,0,3,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,5.230,V (Johnson),4.537,Ks (2MASS),F0 IV,7190.10,,0.850,1.75,1.56,-0.027,[M/H],0.020
25,51 Peg,b,51 Peg b,Radial Velocity,0,1995,4.23078500,0.052700,0.013000,146.20180,Mass,14.300,0.27500,,0,0,1,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,5.500,V (Johnson),3.911,Ks (2MASS),G2.5 IV,5793.00,4.33,0.147,1.12,1.20,0.200,[Fe/H],4.000
26,55 Cnc,b,55 Cnc b,Radial Velocity,0,1996,14.65152000,0.115227,0.003400,263.97850,Mass,13.900,0.54000,700,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),4.015,Ks (2MASS),G8 V,5196.00,4.45,-0.235,0.91,0.94,0.310,[Fe/H],10.200
27,55 Cnc,c,55 Cnc c,Radial Velocity,0,2004,44.41750000,0.241376,0.020000,54.47380,Mass,8.510,0.48600,,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),4.015,Ks (2MASS),G8 V,5196.00,4.45,-0.235,0.91,0.94,0.310,[Fe/H],10.200
28,55 Cnc,d,55 Cnc d,Radial Velocity,0,2002,4825.00000000,5.503000,0.019000,1232.49300,Mass,13.000,3.08000,,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),4.015,Ks (2MASS),G8 V,5196.00,4.45,-0.235,0.91,0.94,0.310,[Fe/H],10.200
29,55 Cnc,e,55 Cnc e,Radial Velocity,0,2004,0.73653900,0.015440,0.028000,8.08000,Mass,1.910,6.40000,1958,1,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),4.015,Ks (2MASS),G8 V,5196.00,4.45,-0.235,0.91,0.94,0.310,[Fe/H],10.200
30,55 Cnc,f,55 Cnc f,Radial Velocity,0,2007,262.00000000,0.788000,0.305000,44.81200,Mass,7.590,0.56300,,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),4.015,Ks (2MASS),G8 V,5196.00,4.45,-0.235,0.91,0.94,0.310,[Fe/H],10.200
31,6 Lyn,b,6 Lyn b,Radial Velocity,0,2008,934.30000000,2.110000,0.073000,638.83830,Msini,13.400,1.46000,,0,0,1,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,5.860,V (Johnson),3.701,Ks (2MASS),K0 III-IV,4938.00,3.19,1.156,1.44,5.20,-0.100,[Fe/H],2.353
32,61 Vir,b,61 Vir b,Radial Velocity,0,2009,4.21500000,0.050201,0.120000,5.10000,Msini,2.110,2.98000,,0,0,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),2.956,Ks (2MASS),G5 V,5577.00,4.34,-0.095,0.94,0.96,-0.010,[Fe/H],8.960
33,61 Vir,c,61 Vir c,Radial Velocity,0,2009,38.02100000,0.217500,0.140000,18.20000,Msini,4.460,1.13000,,0,0,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),2.956,Ks (2MASS),G5 V,5577.00,4.34,-0.095,0.94,0.96,-0.010,[Fe/H],8.960
34,61 Vir,d,61 Vir d,Radial Velocity,0,2009,123.01000000,0.476000,0.350000,22.90000,Msini,5.110,0.94300,,0,0,1,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),2.956,Ks (2MASS),G5 V,5577.00,4.34,-0.095,0.94,0.96,-0.010,[Fe/H],8.960
35,7 CMa,b,7 CMa b,Radial Velocity,0,2011,796.00000000,1.930000,0.220000,781.86180,Msini,13.300,1.83000,,0,0,1,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,3.920,V (Johnson),1.564,Ks (2MASS),K1 III,4792.00,3.25,1.053,1.52,2.30,0.210,[Fe/H],
36,70 Vir,b,70 Vir b,Radial Velocity,0,1996,116.68800000,0.481000,0.398800,2380.45000,Mass,12.600,6.54000,,0,0,1,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,4.970,V (Johnson),3.500,Ks (2MASS),G4 V,5495.00,3.95,0.487,1.09,1.89,-0.110,[Fe/H],7.920
37,75 Cet,b,75 Cet b,Radial Velocity,0,2012,691.90000000,2.100000,0.117000,953.49000,Msini,13.100,2.33000,,0,0,1,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,5.350,V (Johnson),3.207,Ks (2MASS),G3 III,4846.00,2.63,1.730,2.49,10.50,0.000,[Fe/H],
38,8 UMi,b,8 UMi b,Radial Velocity,0,2015,93.40000000,0.490000,0.060000,416.35730,Msini,13.600,0.91000,,0,0,1,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,6.830,V (Johnson),4.515,Ks (2MASS),K0,4847.00,2.57,1.725,1.44,10.30,-0.030,[Fe/H],1.700
39,81 Cet,b,81 Cet b,Radial Velocity,0,2008,952.70000000,2.500000,0.206000,1684.40000,Msini,12.800,4.41000,,0,0,1,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,5.650,V (Johnson),3.266,Ks (2MASS),G5 III,4785.00,2.35,1.778,2.40,11.00,-0.060,[Fe/H],
40,91 Aqr,b,91 Aqr b,Radial Velocity,0,2013,181.40000000,0.700000,0.027000,1017.00000,Msini,13.100,2.49000,,0,0,1,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,4.250,V (Johnson),1.597,Ks (2MASS),K0 III,4665.00,2.52,1.692,1.40,11.00,-0.030,[Fe/H],3.560
41,AB Pic,b,AB Pic b,Imaging,0,2005,,260.000000,,4290.50000,Mass,12.300,12.70000,,0,0,1,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,9.128,V (Johnson),6.981,Ks (2MASS),K2 V,5378.00,4.44,-0.226,0.90,1.00,-0.050,[Fe/H],0.030
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,2017,481.90000000,1.300000,0.200000,2034.11200,Msini,12.700,5.46000,,0,0,1,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,9.580,V (Johnson),6.021,Ks (2MASS),,4095.00,1.89,2.700,1.14,32.35,-0.710,[Fe/H],5.200
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,2009,268.94000000,0.780000,0.290000,330.54320,Msini,13.800,0.69100,,0,0,1,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,9.630,V (Johnson),7.336,Ks (2MASS),K2 V,4864.00,4.26,-0.424,0.49,0.86,0.170,[Fe/H],
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,2016,153.22000000,0.576000,0.001000,337.21763,Msini,13.800,0.70500,,0,0,1,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,10.310,V (Johnson),7.718,Ks (2MASS),G5,4649.00,2.61,1.570,1.08,8.95,-0.220,[Fe/H],7.410
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,2013,137.48000000,0.539000,0.260000,352.78000,Msini,13.700,0.75400,,0,0,1,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,9.046,V (Johnson),6.525,Ks (2MASS),K0,4796.00,2.80,2.010,1.10,14.70,0.280,[Fe/H],7.100
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2009,379.63000000,1.050000,0.150000,17668.16970,Msini,11.600,62.20000,,0,0,1,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,9.750,V (Johnson),6.420,Ks (2MASS),K2 II,4259.00,1.77,2.768,10.83,71.02,-0.790,[Fe/H],
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2009,621.99000000,2.010000,0.180000,3963.17000,Msini,12.400,11.40000,,0,0,1,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,1670.85,9.750,V (Johnson),6.420,Ks (2MASS),K2 II,4259.00,1.77,2.768,10.83,71.02,-0.790,[Fe/H],
48,BD+20 274,b,BD+20 274 b,Radial Velocity,0,2012,578.20000000,1.300000,0.210000,1334.88600,Msini,13.000,3.34000,,0,0,1,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,9.360,V (Johnson),6.169,Ks (2MASS),K5 III,4296.00,1.99,1.960,0.80,17.30,-0.460,[Fe/H],
49,BD+20 594,b,BD+20 594 b,Transit,0,2016,41.68550000,0.241000,0.000000,22.24810,Mass,2.578,7.89000,546,1,0,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,11.038,V (Johnson),9.368,Ks (2MASS),G,5766.00,4.50,0.050,1.67,1.08,-0.150,[Fe/H],3.340
50,BD+48 738,b,BD+48 738 b,Radial Velocity,0,2011,392.60000000,1.000000,0.200000,289.22530,Msini,13.900,0.59200,,0,0,1,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,9.140,V (Johnson),5.904,Ks (2MASS),K0 III,4414.00,2.24,1.690,0.74,11.00,-0.200,[Fe/H],
51,BD+48 740,b,BD+48 740 b,Radial Velocity,0,2018,733.00000000,1.700000,0.760000,540.31100,Msini,13.500,1.21000,,0,0,1,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,8.699,V (Johnson),5.645,Ks (2MASS),K3 III,4534.00,2.48,1.640,1.09,10.33,-0.130,[Fe/H],
52,BD+49 828,b,BD+49 828 b,Radial Velocity,0,2015,2590.00000000,4.200000,0.350000,508.50000,Msini,13.500,1.14000,,0,0,1,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,9.380,V (Johnson),6.571,Ks (2MASS),K0,4943.00,2.85,1.470,1.52,7.60,-0.190,[Fe/H],2.340
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2013,3.87280000,0.042800,0.000000,8.50000,Msini,2.850,2.02000,,0,0,1,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,9.700,V (Johnson),6.305,Ks (2MASS),K7/M0 V,4324.00,4.74,-1.022,0.70,0.67,-0.140,[Fe/H],4.400
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2013,125.94000000,0.435000,0.310000,53.00000,Msini,8.380,0.49500,,0,0,1,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,9.700,V (Johnson),6.305,Ks (2MASS),K7/M0 V,4324.00,4.74,-1.022,0.70,0.67,-0.140,[Fe/H],4.400
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2009,5.60000000,0.060000,0.150000,12.71320,Msini,3.610,1.48000,,0,0,1,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,9.880,V (Johnson),7.323,Ks (2MASS),K3 V,4816.00,4.43,-0.626,0.50,0.71,-0.060,[Fe/H],4.500
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2009,237.60000000,0.680000,0.190000,104.00000,Msini,12.500,0.29300,,0,0,1,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,9.880,V (Johnson),7.323,Ks (2MASS),K3 V,4816.00,4.43,-0.626,0.50,0.71,-0.060,[Fe/H],4.500
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,2000,3.48777000,0.040000,0.020000,187.51970,Msini,14.100,0.36800,,0,0,1,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,10.080,V (Johnson),8.124,Ks (2MASS),K0 V,5393.00,4.69,-0.191,1.47,0.91,0.380,[Fe/H],1.000
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,2014,1667.00000000,2.280000,0.050000,168.44000,Msini,14.200,0.32300,,0,0,1,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,9.990,V (Johnson),6.867,Ks (2MASS),K7 V,4475.00,4.10,-0.881,0.57,0.52,-0.480,[Fe/H],4.400
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,0,2007,714.29999000,1.660000,0.210000,3108.37740,Msini,12.500,8.75000,,0,0,1,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,948.75,9.450,V (Johnson),7.151,Ks (2MASS),G5 IV/V,4545.00,2.20,2.043,2.12,19.17,-0.080,[Fe/H],0.740
60,BD-17 63,b,BD-17 63 b,Radial Velocity,0,2008,655.59998000,1.340000,0.540000,905.81550,Msini,13.200,2.16000,,0,0,1,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,9.566,V (Johnson),6.914,Ks (2MASS),K5 V,4665.00,4.19,-0.651,0.31,0.74,0.010,[Fe/H],4.300
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,0,2011,10037.50000000,2.600000,,3337.10000,Mass,12.400,9.62000,370,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,,,,,580.50,4.72,,0.02,,,,
62,CHXR 73,b,CHXR 73 b,Imaging,0,2006,,210.000000,,3994.48600,Mass,12.300,11.80000,,0,0,1,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,17.293,G (Gaia),10.703,Ks (2MASS),M3.5,,,,0.35,,,,0.002
63,CI Tau,b,CI Tau b,Radial Velocity,0,2019,8.98910000,,0.250000,3686.82800,Mass,12.400,10.60000,,0,0,1,04h33m52.01s,68.466728,+22d50m30.1s,22.841696,158.00,12.939,V (Johnson),7.793,Ks (2MASS),K7,3635.00,,-0.108,0.90,1.88,,,0.003
64,CT Cha,b,CT Cha b,Imaging,0,2007,,440.000000,,5403.00000,Mass,24.660,1.98000,2600,0,0,1,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,11.773,G (Gaia),8.661,Ks (2MASS),K5e,4200.20,,-0.102,,1.68,,,0.002
65,CoRoT-1,b,CoRoT-1 b,Transit,0,2008,1.50895570,0.027520,0.000000,327.35000,Mass,16.700,0.38000,1898,1,0,1,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,13.600,V (Johnson),12.149,Ks (2MASS),G0 V,5950.00,4.25,0.298,0.95,1.11,-0.300,[M/H],1.600
66,CoRoT-10,b,CoRoT-10 b,Transit,0,2010,13.24060000,0.105500,0.530000,874.00000,Mass,10.870,3.70000,600,1,0,1,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,15.220,V (Johnson),11.782,Ks (2MASS),K1 V,5075.00,4.65,-0.726,0.89,0.79,0.260,[Fe/H],3.000
67,CoRoT-11,b,CoRoT-11 b,Transit,0,2010,2.99433000,0.043600,0.000000,740.51000,Mass,16.030,0.99000,1657,1,0,1,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,12.939,V (Johnson),11.248,Ks (2MASS),F6 V,6440.00,4.22,0.378,1.27,1.37,-0.030,[Fe/H],2.000
